ID,Name,First Air Date,Overview,Popularity,Vote Average,Vote Count,Poster_URL,Backdrop_URL
19832,Gridman the Hyper Agent,1993-04-03,"Three computer-savvy kids, Naoto, Yuka and Ippei created their own videogame superhero, but then discover it possessed by an inter-dimensional police officer, Gridman. Pursuing an evil program called Kahn Digifer, he merges with Naoto and fights Kahn Digifer's digitized monsters in order to prevent the computerized demon from wreaking havoc on the Human World.",2.018,8.0,4,https://image.tmdb.org/t/p/w500/3gfTjRfyBagnQO6tvhiDiWapObq.jpg,https://image.tmdb.org/t/p/w780/xwZntMSiFFxgwISKTpE2huK4DjS.jpg
18305,Ultraman: The Ultimate Hero,1993-12-16,"The members of WINR (pronounced ""Winner"") respond when members of the alien Baltan race attack Earth, but the Baltans are only fended off when a gigantic alien, Ultraman Powered, joins with WINR member Kenichi Kai and gives him the power to metamorphose into Ultraman in times of danger. At the end of the first episode Ultraman declares that the Baltans were not completely defeated and that he will remain on Earth to continue the fight. WINR and Ultraman destroy numerous other monsters, but WINR learns that the Baltans were arranging all the battles to learn Ultraman's strengths and weaknesses",0.9518,8.2,4,https://image.tmdb.org/t/p/w500/hiF2akj9StGdI2wHyLJjm98haIz.jpg,https://image.tmdb.org/t/p/w780/qVFcJ0Ud1tTGWBpc8EuKYv9Vju.jpg
1394,Ninja Sentai Kakuranger,1994-02-17,"It's been a long time since the great war between the Three God Generals and the Youkais, an ancient race of monstrous spirits. Since then, imprisoned in a cave protected by the mystical Seal Door, their leader Daimaou and his Youkai army wait, planning for the day they can finally strike. That day has arrived and it is up to the Kakurangers, along with the Three God Generals, to defeat the Youkais, before Daimaou's villainy destroys Earth!",3.2653,8.3,9,https://image.tmdb.org/t/p/w500/zxInqzS33cyk9Af2m9ftfi6cMQS.jpg,https://image.tmdb.org/t/p/w780/m4nUjyQFiawhcViG2CkWNI7MdMl.jpg
3228,Juukou B-Fighter,1995-02-05,"Juukou B-Fighter is a 1995 Japanese tokusatsu television series. B-Fighter is short for ""Beetle Fighter"". It was part of Toei's ongoing Metal Hero Series. It dealt with three members of the prestigious Earth Academia fighting against the evil forces of the otherworldly Jamahl Empire. The action footage and props were later used for Big Bad Beetleborgs.",2.757,9.7,6,https://image.tmdb.org/t/p/w500/oEqJT5NyPcaM06NkHbx1HOKwiXy.jpg,https://image.tmdb.org/t/p/w780/j5hx9WYbKHdcnA7xIk3D6ZIf2gi.jpg
5224,Chouriki Sentai Ohranger,1995-03-03,"It is the year 1999. The Machine Empire of Baranoia, led by Emperor Bacchus Wrath, has invaded Earth with the intention of wiping out all human life and bringing about machine rule. Chief Counselor Miura of the UAOH (United Airforce Overtech Hardware), in a desperate attempt to quell this invasion, has revived super energies born of the lost civilization of Pangaea. Enlisting an elite squad of the finest officers the UAOH has to offer, Miura has harnessed Tetrahedron Power, granting the team the power to transform into the Ohrangers… and save humanity from its darkest crisis yet!",3.2769,7.7,12,https://image.tmdb.org/t/p/w500/sENIuEmoVNDYIDkeQf4DS7q6YEr.jpg,https://image.tmdb.org/t/p/w780/1uI2P8Ubz3FCtZqos1ZlHnLO8IW.jpg
6342,B-Fighter Kabuto,1996-03-03,"B-Fighter Kabuto is a Japanese television series in the Metal Hero Series. It is the sequel to Juukou B-Fighter, taking place five years after the preceding B-Fighter series. Kabuto aired from 1996 to 1997. The action footage and props were used for the Beetleborgs Metallix series.",1.0614,9.7,6,https://image.tmdb.org/t/p/w500/tPMK9jbwMpupDcDgthncQ69fDej.jpg,https://image.tmdb.org/t/p/w780/symmVq81CHMwtOjpUnBwJf9mdCG.jpg
20060,Choukou Senshi Changerion,1996-04-03,"The DarkZide stealthily appeared on Earth from their dying world in Dark Dimension to acquire the Larmu, human life-energy, to continue their existence. To counter the threat, Takeshi Munakata of the Cabinet Secret Service established the group S.A.I.D.O.C to intercept the DarkZide. S.A.I.D.O.C developed the Crystal Power needed to completed the Changérion project. However, the power was accidentally transferred into the body of detective Akira Suzumura.",0.9779,10.0,2,https://image.tmdb.org/t/p/w500/blRKEvMJpHO7bkTUsl9Xqy0VnOC.jpg,https://image.tmdb.org/t/p/w780/tONQy1FLsXfp8QawdBQgv2DVxG.jpg
2253,Ultraman Tiga,1996-09-07,A high-tech squadron protects Earth from evil monsters and aliens with the help of a giant super-being named Ultraman Tiga.,3.3001,8.1,110,https://image.tmdb.org/t/p/w500/lYvAiTqXFGuLqos0Wi7899scn6z.jpg,https://image.tmdb.org/t/p/w780/asqloozvbP3BUkDrvQbmaPyFaF0.jpg
3723,Denji Sentai Megaranger,1997-02-14,"When his video game prowess is discovered by the International Network of Excel-Science and Technology — or I.N.E.T. — high school student Kenta Date is brought in to lend his expertise to their mysterious research. Meanwhile, four classmates show up, wanting to know more about the I.N.E.T. facility. Their experience will change their lives forever, as I.N.E.T. survives an attack by the nefarious Dr. Hinelar and an army from another dimension determined to conquer our reality! Now, it's up to Kenta and his four classmates to ""install Megaranger"" and become the team of heroes their video games prepared them to be!",3.4522,8.5,10,https://image.tmdb.org/t/p/w500/gKtYenCKKsf69xDPXDIpdpt9iT2.jpg,https://image.tmdb.org/t/p/w780/HfUx5Fb3tlC8z30R15jZ9MMrof.jpg
85995,B-Robo Kabutack,1997-02-23,"B-Robo Kabutack is a Japanese television series and is the sixteenth series as part of Toei Company's Metal Hero Series of tokusatsu programs. It aired from February 23, 1997 to March 1, 1998. It is the first of the kiddie shows made by Toei in the Metal Hero Series line.",2.8475,7.3,15,https://image.tmdb.org/t/p/w500/g4yxg6okcVjaPb9p3F9sUO0gF6v.jpg,https://image.tmdb.org/t/p/w780/aBlr2s6ZdHIzWprKPQv5OuBsbUP.jpg
3459,Ultraman Dyna,1997-09-06,"As humanity begins migrating beyond Earth, a new Ultraman named Dyna arrives and bonds with defense organization GUTS' newest recruit, Shin Asuka, to protect a colony on Mars.",2.1178,9.0,14,https://image.tmdb.org/t/p/w500/gUoe3ZGS2am6obGeKltUkwF7UO.jpg,https://image.tmdb.org/t/p/w780/wqwMOxuVB8Qaz7VfMnoSYQrnFfE.jpg
410,Seijuu Sentai Gingaman,1998-02-22,"Three millennia after the first invasion of the Space Pirates Barban, a new set of Gingamen — Hyuuga, Gouki, Hayate, Hikaru, Saya — have been selected to protect the Earth. That is, unless the Barban are able to disrupt the ceremony!",3.2074,6.7,6,https://image.tmdb.org/t/p/w500/k4akv3Eu90mR0E0WP6TlAzQBPym.jpg,https://image.tmdb.org/t/p/w780/2dUiV8MqQesrLhb8FALnaqHwjub.jpg
16563,Robot Dog Detective Robotack,1998-03-08,"Tetsuwan Tantei Robotack is a Japanese Tokusatsu television series created and produced by Toei Company. The series is the seventeenth and final installment of the Metal Hero Series and the partial sequel to B-Robo Kabutack. It premiered on March 8, 1998, the week following the finale of B-Robo Kabutack and ended on January 24, 1999. It joins with Bomberman B-Daman Bakugaiden, Seiju Sentai Gingaman and Yume no Crayon Oukoku as a program featured in TV Asahi.",0.7919,10.0,2,https://image.tmdb.org/t/p/w500/lA1wFU3wRuRRRXayEhaYSB4zjJN.jpg,https://image.tmdb.org/t/p/w780/7Fa936B4fHDZYxUgDZsgZz6aVYc.jpg
4426,Ultraman Gaia,1998-09-05,"Ultraman Gaia is a Japanese tokusatsu TV show and is the 13th show in the Ultra Series. Created by Chiaki J. Konaka and produced by Tsuburaya Productions and Mainichi Broadcasting System, Ultraman Gaia was aired on JNN TV stations from September 5, 1998 until August 28, 1999, with a total of 51 episodes.",4.4812,8.7,11,https://image.tmdb.org/t/p/w500/vy3WvKpc3qev0AGQWLJBoaUIE4N.jpg,https://image.tmdb.org/t/p/w780/uC8OXa2OzdlAgcptPr6GrtUzzDw.jpg
